Frontside,Flipside,Category,Level
"<u>'a</u>'aw","several | a few","adjective","0"
"'ak","[ouch] | [ow]","interjection","0"
"<u>'ak</u>ra","soil ([fertile])","substantive (noun)","0"
"<u>'a</u>ku","remove | take away | take off","verb, transitive","0"
"'al","waste","verb, transitive","0"
"'a<u>li</u>'ä","collar | choker","substantive (noun)","0"
"<u>'am</u>pi","touch","verb, transitive","0"
"<u>am</u>pirikx","leaf pitcher plant | [Pseudocenia simplex]","substantive (noun)","0"
"<u>'a</u>na","hanging vine","substantive (noun)","0"
"<u>'an</u>la","yearn for","verb, transitive","0"
"<u>'a</u>ngo","soft ([of a sound])","adjective","0"
"<u>'ang</u>tsìk","hammerhead | [Rhinoquadruculus hammercephali]","substantive (noun)","0"
"<u>'a</u>re","poncho | cape | shawl","substantive (noun)","0"
"<u>'a</u>sap","sudden shock","substantive (noun)","0"
"<u>'a</u>sap si","be shocked | be startled","verb, intransitiv","0"
"'aw","one","numeral","0"
"'awkx","cliff","substantive (noun)","0"
"'aw<u>li</u>e","once (in the past)","adverb","0"
"<u>'aw</u>lo","once | one time","adverb","0"
"'awm","camp","substantive (noun)","0"
"<u>'aw</u>nìm","avoid","verb, transitive","0"
"<u>'aw</u>po","one (individual)","personal pronouns","0"
"'awsi<u>teng</u>","together","adverb","0"
"'awsteng<u>yem</u>","join (two or more things together)","verb, transitive","0"
"<u>'aw</u>ve","first ([ordinal])","numeral","0"
"'ä'","whoops!","interjection","0"
"<u>'ä</u>'o","pitcher plant | [Plantapurpurea cordata]","substantive (noun)","0"
"'än<u>syem</u>","complete","adjective","0"
"<u>'ä</u>rìp","move","verb, transitive","0"
"<u>'e</u>'al","worst","adjective","0"
"'e<u>'in</u>","pod | gourd","substantive (noun)","0"
"'e<u>'in</u>sey","drinking gourd","substantive (noun)","0"
"<u>'e</u>fu","feel | sense | perceive","verb, transitive","0"
"<u>'e</u>ko","attack | pour down ([of weather])","verb, transitive","0"
"<u>'e</u>kong","beat ([rhythmic])","substantive (noun)","0"
"'e<u>kxin</u>","tight","adjective","0"
"'e<u>kxi</u>num","tightness | looseness | degree of tightness or looseness","substantive (noun)","0"
"<u>'e</u>le'wll","thorny paw | ([cactus-like Pandoran plant]) | [Sigmoidia barbata]","substantive (noun)","0"
"'em","cook","verb, transitive","0"
"<u>'em</u>yu","cook | cooker","substantive (noun)","0"
"'en","guess | informed guess | hunch | intuition","substantive (noun)","0"
"'en si","guess | make an informed guess","verb, intransitiv","0"
"<u>'eng</u>eng","level","adjective","0"
"<u>'e</u>oio","ceremonious","adjective","0"
"<u>'et</u>naw","shoulder","substantive (noun)","0"
"<u>'e</u>van","boy ([colloquial])","substantive (noun)","0"
"<u>'e</u>ve","girl ([colloquial])","substantive (noun)","0"
"<u>'e</u>veng","child","substantive (noun)","0"
"<u>'e</u>vengan","boy","substantive (noun)","0"
"<u>'e</u>venge","girl","substantive (noun)","0"
"<u>'e</u>vi","kid | child ([affectionate])","substantive (noun)","0"
"<u>'e</u>wan","young","adjective","0"
"<u>'e</u>wll","plant","substantive (noun)","0"
"<u>'ew</u>rang","loom","substantive (noun)","0"
"<u>'ey</u>lan","friend","substantive (noun)","0"
"'eyla<u>nay</u>","acquaintance ([with the potential of becoming a friend])","substantive (noun)","0"
"'eyng","answer | respond","verb, intransitiv","0"
"'eyt","([the symbol]) 8 | ([not the value eight])","substantive (noun)","0"
