00:05 -- Analyzing message from DISBOARD#2760 in 🔵bot-commands.
00:05 -- Analyzing message from AgentPerry#8264 in 🤖bot-spam.
00:05 -- Analyzing message from AgentPerry#8264 in 🤖bot-spam.
00:09 -- Analyzing message from Acekicker#7345 in 🌐global-chat.
00:09 -- Analyzing message from AgentPerry#8264 in 🌐global-chat.
00:28 -- Analyzing message from Atokirina#2706 in 🎨tseo.
00:47 -- Analyzing message from CaptJakeSparrow#6873 in 🎨tseo.
00:49 -- Analyzing message from Atokirina#2706 in 🎨tseo.
00:50 -- Analyzing message from Atokirina#2706 in 🎨tseo.
00:50 -- Analyzing message from HappyHippo77#2866 in 🎨tseo.
00:54 -- Analyzing message from Atokirina#2706 in 🎨tseo.
00:55 -- Analyzing message from Atokirina#2706 in 🎨tseo.
00:59 -- Analyzing message from Salv#4325 in 🌐global-chat.
00:59 -- Analyzing message from Salv#4325 in 🌐global-chat.
01:00 -- Analyzing message from Pᴀɴᴅᴏʀᴀ#1624 in 🐦twitter.
01:00 -- 01:00 -- Gave Pᴀɴᴅᴏʀᴀ the Colonel Quaritch (Rank 3) role.
01:04 -- Analyzing message from HappyHippo77#2866 in 🎨tseo.
01:06 -- Analyzing message from omikranay#9170 in 💬tìpängkxo.
01:06 -- Analyzing message from omikranay#9170 in 💬tìpängkxo.
01:06 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
01:14 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
01:15 -- Analyzing message from AgentPerry#8264 in 🌐global-chat.
01:15 -- Analyzing message from AgentPerry#8264 in 🌐global-chat.
01:20 -- Analyzing message from Hwaet#4348 in 🇩🇪deutsch.
01:29 -- Analyzing message from Hwaet#4348 in 🇩🇪deutsch.
01:31 -- Analyzing message from REDBIRD#5246 in 🎨tseo.
01:32 -- Analyzing message from REDBIRD#5246 in 🎨tseo.
01:35 -- Analyzing message from ollywood#4813 in 🎨tseo.
01:36 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
01:37 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
01:37 -- Analyzing message from Mako#2511 in 🎨tseo.
01:37 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
01:37 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
01:38 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
01:52 -- Analyzing message from omikranay#9170 in 💬tìpängkxo.
01:53 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
01:53 -- Analyzing message from omikranay#9170 in 💬tìpängkxo.
01:53 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
01:55 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
01:55 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
01:56 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
01:57 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
01:57 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
01:57 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
01:58 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
01:58 -- Analyzing message from omikranay#9170 in 💬tìpängkxo.
01:58 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
01:59 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
02:00 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:02 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
02:02 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:04 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
02:04 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:04 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:05 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
02:06 -- Analyzing message from Wind12#2315 in ⚠next-shadow-spoilers.
02:06 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:07 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
02:07 -- Analyzing message from Wind12#2315 in ⚠next-shadow-spoilers.
02:07 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:08 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:08 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:08 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:08 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:08 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
02:08 -- Analyzing message from omikranay#9170 in 💬tìpängkxo.
02:09 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
02:09 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:09 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:09 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:10 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:10 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
02:10 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:10 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
02:10 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:13 -- Analyzing message from WhoaConstrictor#9974 in 💬tìpängkxo.
02:13 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
02:13 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:13 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:13 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:13 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
02:14 -- Analyzing message from WhoaConstrictor#9974 in 💬tìpängkxo.
02:14 -- Analyzing message from WhoaConstrictor#9974 in 💬tìpängkxo.
02:14 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:15 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:15 -- Analyzing message from WhoaConstrictor#9974 in 💬tìpängkxo.
02:15 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:15 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:15 -- Analyzing message from sickdelusion#3020 in 💬tìpängkxo.
02:15 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
02:16 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:16 -- Analyzing message from WhoaConstrictor#9974 in 💬tìpängkxo.
02:16 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:17 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:18 -- Analyzing message from sickdelusion#3020 in 💬tìpängkxo.
02:18 -- Analyzing message from sickdelusion#3020 in 💬tìpängkxo.
02:18 -- omikranay: 610271833991938080 executed the !profile command with arguments:  <@!610271833991938080>
02:18 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:18 -- Analyzing message from sickdelusion#3020 in 💬tìpängkxo.
02:19 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:19 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:19 -- Analyzing message from sickdelusion#3020 in 💬tìpängkxo.
02:20 -- Analyzing message from sickdelusion#3020 in 💬tìpängkxo.
02:20 -- Analyzing message from sickdelusion#3020 in 💬tìpängkxo.
02:20 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:20 -- Analyzing message from WhoaConstrictor#9974 in 💬tìpängkxo.
02:20 -- Analyzing message from sickdelusion#3020 in 💬tìpängkxo.
02:20 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:20 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:20 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:20 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
02:21 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:21 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:21 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
02:21 -- Analyzing message from sickdelusion#3020 in 💬tìpängkxo.
02:21 -- Analyzing message from sickdelusion#3020 in 💬tìpängkxo.
02:22 -- Analyzing message from omikranay#9170 in 💬tìpängkxo.
02:22 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:22 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
